Line,Voltage
0,123.017587693
1,122.27991848
2,123.77562213
3,121.086794574
4,122.25580195
5,123.711827412
6,121.806689673
7,120.668408748
8,122.56961635
9,123.239981186
10,122.907405879
11,121.911183817
12,121.944380739
13,122.180019377
14,122.592246103
15,122.770637745
16,121.69163505
17,122.416144738
18,122.783047696
19,122.691124196
0,122.426853603
1,121.866035646
2,123.405812542
3,120.059588286
4,120.33543381
5,123.495580604
6,120.810582145
7,119.065710375
8,122.566645327
9,122.638598272
10,121.953941851
11,121.218702234
12,120.933154153
13,121.771962422
14,121.370850191
15,121.452783243
16,120.38746856
17,121.291734473
18,122.487281642
19,121.361238291
0,121.998265836
1,120.866092573
2,122.962325621
3,119.104580829
4,119.326867567
5,122.946338635
6,120.3282345
7,118.328818359
8,121.406829112
9,121.720301233
10,121.322230982
11,120.471925922
12,119.733749594
13,121.492072016
14,120.123291441
15,119.624870289
16,119.201425543
17,120.99408169
18,122.208843674
19,120.377788251
0,121.76661547
1,120.458697889
2,122.21352068
3,117.772216366
4,118.539070303
5,122.502884106
6,119.167143037
7,117.377202265
8,120.300692588
9,120.187815939
10,120.159510453
11,120.15052548
12,119.236115385
13,121.11440225
14,119.207039016
15,117.543371553
16,117.908075364
17,120.657464754
18,122.046073701
19,119.702557105
0,119.997453343
1,119.643071712
2,121.951887004
3,116.946729744
4,116.935909608
5,121.945675748
6,117.872293978
7,116.009720854
8,119.631781541
9,118.919459228
10,119.813040766
11,119.359569411
12,118.7224145
13,119.763577506
14,117.54770785
15,116.487748659
16,116.88700653
17,120.1379808
18,121.853025227
19,119.416891126
0,119.356989006
1,118.861164687
2,121.444139053
3,115.837070791
4,115.812228756
5,121.250455484
6,117.289751896
7,115.417275816
8,118.111125244
9,117.22337926
10,119.414888931
11,118.553057826
12,117.910571772
13,119.48348109
14,116.337559164
15,114.75901723
16,116.186859246
17,119.377054601
18,121.576616938
19,118.771121713
0,118.782593608
1,117.705023641
2,121.069590582
3,114.693699454
4,115.427196612
5,120.598526482
6,115.893683887
7,114.679862384
8,116.70307291
9,115.034229601
10,119.0834732
11,118.27928432
12,117.109057694
13,119.21320141
14,115.122026696
15,114.206800624
16,115.525265722
17,118.549309885
18,121.30089202
19,116.931859231
0,117.693938874
1,117.301102408
2,120.796908372
3,112.320778912
4,114.744841701
5,119.822522761
6,114.724714242
7,114.549812311
8,115.496466377
9,114.776998297
10,118.60184336
11,117.855114726
12,116.228589617
13,118.691943195
14,113.702541726
15,113.102549174
16,114.302504661
17,118.13190407
18,121.015838144
19,114.412597862
0,117.51133775
1,116.573078825
2,120.498678478
3,111.668464012
4,113.362594579
5,119.170235792
6,114.936038293
7,113.505182537
8,113.908960072
9,113.530257977
10,118.491884151
11,117.785898019
12,115.450474665
13,117.778322338
14,113.040057978
15,112.258934782
16,113.61355783
17,117.101074309
18,120.816590189
19,112.979162733
0,116.598142529
1,115.863127168
2,120.316679646
3,110.699048627
4,112.235427754
5,118.831339096
6,113.124284501
7,113.057404002
8,112.834524188
9,111.892972333
10,117.908780165
11,117.553514692
12,115.160053076
13,117.589899603
14,110.906434503
15,111.129242803
16,112.498060638
17,116.541990859
18,120.733928125
19,112.310454677
0,116.549509675
1,114.87238164
2,120.360882498
3,109.843339124
4,112.284951512
5,118.38713464
6,112.01320425
7,111.39914247
8,111.090044336
9,110.951214552
10,117.097933939
11,116.613035461
12,114.135431331
13,116.66255223
14,110.517588679
15,109.443127261
16,111.497582761
17,115.244108927
18,120.399485395
19,112.133541937
0,115.83154204
1,114.570170742
2,119.843721613
3,108.276137849
4,110.517293633
5,117.990543413
6,110.441627
7,110.912910085
8,110.165470475
9,109.11203456
10,116.829672443
11,115.706049575
12,113.297304497
13,116.529578685
14,109.694114076
15,108.225181341
16,110.809050962
17,114.445076776
18,120.372777727
19,110.047154546
0,115.382227524
1,113.923280155
2,119.582179539
3,107.488601479
4,109.834619253
5,117.234361821
6,109.940812615
7,108.819882601
8,108.4886867
9,107.415942517
10,116.219613833
11,115.655892768
12,112.228511529
13,115.862551091
14,108.21815997
15,107.242211844
16,110.194424206
17,114.382546958
18,120.137489929
19,109.269349584
0,114.839285035
1,113.239059748
2,119.1288142
3,106.371963368
4,108.973219061
5,116.689031574
6,110.033571514
7,108.30878404
8,106.735829887
9,106.084137543
10,115.828752783
11,114.858689728
12,111.502352366
13,115.276889767
14,107.340347063
15,106.721684489
16,109.500410717
17,113.83288193
18,119.903701179
19,108.195496405
0,113.973939624
1,112.927733485
2,118.857558815
3,105.644502629
4,107.383399917
5,115.65679735
6,109.678702487
7,106.396073885
8,105.931484783
9,104.524861595
10,114.56839183
11,113.904818393
12,110.89049897
13,114.428945132
14,106.573747755
15,104.577381357
16,108.388055716
17,112.869437132
18,119.736191012
19,106.871151666
0,113.599633008
1,111.851601129
2,118.610715789
3,104.388626127
4,107.096281465
5,115.469319374
6,108.855856951
7,105.441407632
8,104.761840376
9,103.480155097
10,113.932811612
11,113.080996133
12,110.67262811
13,113.472333248
14,106.608619086
15,102.878967945
16,107.261488983
17,111.983007151
18,119.544457027
19,105.980840357
0,112.76219891
1,110.447780217
2,118.343542037
3,103.260713859
4,106.859371086
5,114.819120312
6,107.838747635
7,104.300129328
8,103.732526081
9,102.367976149
10,113.094370566
11,112.504360332
12,110.167672784
13,112.906257683
14,105.935990476
15,102.494602309
16,107.089424314
17,110.651512983
18,119.324691523
19,104.90223822
0,111.903952216
1,109.417476986
2,118.009892868
3,101.994254647
4,105.639728279
5,114.030885783
6,106.035546494
7,102.942945927
8,102.481056701
9,101.26168833
