Connecting to endpoint akiivb3cx1ocl.iot.us-east-1.amazonaws.com
Line: 0 | Hops: 1 | Voltage: 121.594 | Status: Normal | Modifier: 0 | DeviceID: 23052ff0-07d2-40d2-81d0-f12a919dc3c7
Line: 1 | Hops: 1 | Voltage: 120.763 | Status: Normal | Modifier: 0 | DeviceID: 68400d33-3592-4ced-a938-724fa4da47b0
Line: 2 | Hops: 1 | Voltage: 121.808 | Status: Normal | Modifier: 0 | DeviceID: a58428ee-59e7-4606-aa8d-c54828a3e8f7
Line: 3 | Hops: 1 | Voltage: 122.078 | Status: Normal | Modifier: 0 | DeviceID: 6221eae1-5854-4453-aa19-651ce662d1b0
Line: 4 | Hops: 1 | Voltage: 122.149 | Status: Normal | Modifier: 0 | DeviceID: bf184bda-f900-4256-9f63-9238dc5b7f96
Line: 5 | Hops: 1 | Voltage: 121.201 | Status: Normal | Modifier: 0 | DeviceID: ce42e962-0b1b-4051-91d0-5497a35b6152
Line: 6 | Hops: 1 | Voltage: 122.02 | Status: Normal | Modifier: 0 | DeviceID: 31786f71-523c-4468-98bb-52259ec46680
Line: 7 | Hops: 1 | Voltage: 123.091 | Status: Normal | Modifier: 0 | DeviceID: 1e2a286a-a3b4-4759-84bf-a95b236ec8b0
Line: 8 | Hops: 1 | Voltage: 121.931 | Status: Normal | Modifier: 0 | DeviceID: 2916a7b6-0249-4e19-9a49-c133e6261b7e
Line: 9 | Hops: 1 | Voltage: 122.782 | Status: Normal | Modifier: 0 | DeviceID: e28f3d17-ea1d-4bc2-a55e-71ceae3767cc
Line: 10 | Hops: 1 | Voltage: 123.389 | Status: Normal | Modifier: 0 | DeviceID: 1c8dfc0d-564b-4514-b8d5-1ccf9a0e4dca
Line: 11 | Hops: 1 | Voltage: 122.447 | Status: Normal | Modifier: 0 | DeviceID: d260b167-f56e-4673-b174-58cd9ddd5ba6
Line: 12 | Hops: 1 | Voltage: 121.274 | Status: Normal | Modifier: 0 | DeviceID: 680d13db-fd41-4efd-a79b-1a2c0f15b20b
Line: 13 | Hops: 1 | Voltage: 122.838 | Status: Normal | Modifier: 0 | DeviceID: 98d6c753-dba6-483d-b99d-916efd2989fd
Line: 14 | Hops: 1 | Voltage: 121.257 | Status: Normal | Modifier: 0 | DeviceID: 72a7dae4-0740-469e-8c34-39a25dcb8114
Line: 15 | Hops: 1 | Voltage: 122.81 | Status: Normal | Modifier: 0 | DeviceID: 195eb5a3-5bd3-4beb-8a44-404336b57c49
Line: 16 | Hops: 1 | Voltage: 121.739 | Status: Normal | Modifier: 0 | DeviceID: 35588ec8-eef2-494a-8208-50544afbc2c0
Line: 17 | Hops: 1 | Voltage: 122.724 | Status: Normal | Modifier: 0 | DeviceID: fd6a886a-a40e-480d-8350-a0b2197f8987
Line: 18 | Hops: 1 | Voltage: 120.272 | Status: Normal | Modifier: 0 | DeviceID: 7cd499a8-ee69-47a8-99e7-6b385281767b
Line: 19 | Hops: 1 | Voltage: 123.035 | Status: Normal | Modifier: 0 | DeviceID: 610388eb-ed87-41e3-9f6c-e3753d6fdd9e
Line: 0 | Hops: 2 | Voltage: 120.209 | Status: Normal | Modifier: 0 | DeviceID: 5f0a51a9-ded1-4386-b179-883075bc5ffd
Line: 1 | Hops: 2 | Voltage: 118.746 | Status: Normal | Modifier: 0 | DeviceID: bcc23b31-4b8d-4da1-bda6-0ac24760f80d
Line: 2 | Hops: 2 | Voltage: 121.117 | Status: Normal | Modifier: 0 | DeviceID: ef6c01f3-9e43-42c2-9fda-678767dd72c5
Line: 3 | Hops: 2 | Voltage: 120.541 | Status: Normal | Modifier: 0 | DeviceID: 9251dda1-41f9-42a4-b4d3-217973581a18
Line: 4 | Hops: 2 | Voltage: 121.571 | Status: Normal | Modifier: 0 | DeviceID: 8b445680-ac68-4dfb-88af-89f2734b220c
Line: 5 | Hops: 2 | Voltage: 120.416 | Status: Normal | Modifier: 0 | DeviceID: ffa3988d-fdf2-428a-bc90-6725c102584d
Line: 6 | Hops: 2 | Voltage: 120.237 | Status: Normal | Modifier: 0 | DeviceID: 504bbdf7-7da7-464d-be9f-f0390159b82b
Line: 7 | Hops: 2 | Voltage: 121.869 | Status: Normal | Modifier: 0 | DeviceID: d13aee4e-806f-48a0-b19d-0c13dce7bcda
Line: 8 | Hops: 2 | Voltage: 120.982 | Status: Normal | Modifier: 0 | DeviceID: 16141645-0f28-44b4-bf77-30c55dc416e8
Line: 9 | Hops: 2 | Voltage: 121.097 | Status: Normal | Modifier: 0 | DeviceID: b1671cb4-67af-42c9-b7e6-8899cd655d5f
Line: 10 | Hops: 2 | Voltage: 122.03 | Status: Normal | Modifier: 0 | DeviceID: 993c165e-9252-4bc9-b524-3059e1bcb6af
Line: 11 | Hops: 2 | Voltage: 120.431 | Status: Normal | Modifier: 0 | DeviceID: d547709a-95e1-4460-8e22-d876c76acda9
Line: 12 | Hops: 2 | Voltage: 120.816 | Status: Normal | Modifier: 0 | DeviceID: 2e6281ad-1d55-4f09-9531-78b23d7a5e12
Line: 13 | Hops: 2 | Voltage: 121.568 | Status: Normal | Modifier: 0 | DeviceID: 456a4e24-231f-4674-90b7-0c97baaf0090
Line: 14 | Hops: 2 | Voltage: 120.178 | Status: Normal | Modifier: 0 | DeviceID: 8cf4a1ca-1967-4904-9468-732ddfbbbf4a
Line: 15 | Hops: 2 | Voltage: 121.754 | Status: Normal | Modifier: 0 | DeviceID: 20b81eaa-01e0-4997-a0b5-fe5a8445706f
Line: 16 | Hops: 2 | Voltage: 120.731 | Status: Normal | Modifier: 0 | DeviceID: 0945e36f-7965-4da9-87b0-3ad314a3e457
Line: 17 | Hops: 2 | Voltage: 121.571 | Status: Normal | Modifier: 0 | DeviceID: e15ea4bc-873d-466d-bcf0-aaa8cb6089f2
Line: 18 | Hops: 2 | Voltage: 119.68 | Status: Normal | Modifier: 0 | DeviceID: 6cd38be1-dd33-4c2b-abf8-cb4d723a4d4c
Line: 19 | Hops: 2 | Voltage: 120.876 | Status: Normal | Modifier: 0 | DeviceID: 0f7baf88-f1fc-4e71-87b3-8388051324d5
Line: 0 | Hops: 3 | Voltage: 119.769 | Status: Normal | Modifier: 0 | DeviceID: 70ef533b-2f25-4c5c-9021-bebc27cf79ff
Line: 1 | Hops: 3 | Voltage: 117.722 | Status: Normal | Modifier: 0 | DeviceID: f4028b7e-4bc6-4daf-8ea5-2229c95269f9
Line: 2 | Hops: 3 | Voltage: 120.512 | Status: Normal | Modifier: 0 | DeviceID: 616b8810-a84e-487e-b357-c54ce08f82ad
Line: 3 | Hops: 3 | Voltage: 119.651 | Status: Normal | Modifier: 0 | DeviceID: 038d1934-6f43-4951-9f83-f34fd14c2b00
Line: 4 | Hops: 3 | Voltage: 120.359 | Status: Normal | Modifier: 0 | DeviceID: c9405dda-00b0-488a-bc38-d445732362e5
Line: 5 | Hops: 3 | Voltage: 119.273 | Status: Normal | Modifier: 0 | DeviceID: d41fdbf5-f831-41e9-9420-66e160851a1b
Line: 6 | Hops: 3 | Voltage: 119.576 | Status: Normal | Modifier: 0 | DeviceID: 3600585d-eeed-4965-a483-8c6ebded7c39
Line: 7 | Hops: 3 | Voltage: 121.51 | Status: Normal | Modifier: 0 | DeviceID: 533889ed-10ff-4ecf-8e46-c0719149d159
Line: 8 | Hops: 3 | Voltage: 120.931 | Status: Normal | Modifier: 0 | DeviceID: a5cda4fc-60a0-424b-84ae-07b666e482e8
Line: 9 | Hops: 3 | Voltage: 120.148 | Status: Normal | Modifier: 0 | DeviceID: ba3cbb6e-3da7-40c0-a613-bce694dffdfc
Line: 10 | Hops: 3 | Voltage: 122.06 | Status: Normal | Modifier: 0 | DeviceID: 21d9c8ad-2637-4b2c-9930-57230d398ca9
Line: 11 | Hops: 3 | Voltage: 120.292 | Status: Normal | Modifier: 0 | DeviceID: fc0c554f-ca93-4af7-860a-32d68ff3b6d2
Line: 12 | Hops: 3 | Voltage: 119.983 | Status: Normal | Modifier: 0 | DeviceID: 892b91f6-40dc-4e18-bed3-ca5316f77d87
Line: 13 | Hops: 3 | Voltage: 120.505 | Status: Normal | Modifier: 0 | DeviceID: 4ede6e56-9bbd-4ce5-ab38-5f3f84119b31
Line: 14 | Hops: 3 | Voltage: 118.562 | Status: Normal | Modifier: 0 | DeviceID: 39cdc380-9caf-4a86-b13f-9c10cfc9bbb4
Line: 15 | Hops: 3 | Voltage: 120.72 | Status: Normal | Modifier: 0 | DeviceID: 78e3b077-2a40-4570-89bf-ba2e8494e9d1
Line: 16 | Hops: 3 | Voltage: 119.979 | Status: Normal | Modifier: 0 | DeviceID: 4a9e54e6-a375-40c0-8ad3-f6fd40190e31
Line: 17 | Hops: 3 | Voltage: 120.851 | Status: Normal | Modifier: 0 | DeviceID: d8d21398-938b-4056-aec2-8f3a447f3cff
Line: 18 | Hops: 3 | Voltage: 117.74 | Status: Normal | Modifier: 0 | DeviceID: 4424d468-f830-4bb2-86db-40d64b0a1a9e
Line: 19 | Hops: 3 | Voltage: 119.681 | Status: Normal | Modifier: 0 | DeviceID: 7c9b1734-d62c-4944-8cd1-3b077726e8ae
Line: 0 | Hops: 4 | Voltage: 119.843 | Status: Normal | Modifier: 0 | DeviceID: 9d03ca7b-53ee-440c-b42c-6ec3b867e343
Line: 1 | Hops: 4 | Voltage: 116.455 | Status: Normal | Modifier: 0 | DeviceID: fbb97dea-ba59-4149-acb5-c8b71b3559d3
Line: 2 | Hops: 4 | Voltage: 119.174 | Status: Normal | Modifier: 0 | DeviceID: 1c8df4e1-dd35-4188-ae05-a15576874200
Line: 3 | Hops: 4 | Voltage: 118.641 | Status: Normal | Modifier: 0 | DeviceID: 4986d777-5c77-4a8b-8739-a7e9a2488d31
Line: 4 | Hops: 4 | Voltage: 118.346 | Status: Normal | Modifier: 0 | DeviceID: 131fd32a-5e2d-41c4-89ad-32e384f07666
Line: 5 | Hops: 4 | Voltage: 118.123 | Status: Normal | Modifier: 0 | DeviceID: 137c5601-a8b1-4cbb-90dd-4fdcc0f9bb8e
Line: 6 | Hops: 4 | Voltage: 118.091 | Status: Normal | Modifier: 0 | DeviceID: 140808bd-c6b3-4438-a4c5-f8e172105256
Line: 7 | Hops: 4 | Voltage: 121.048 | Status: Normal | Modifier: 0 | DeviceID: cd7dc11e-dfaf-4cb8-abe5-e23893a92c47
Line: 8 | Hops: 4 | Voltage: 119.686 | Status: Normal | Modifier: 0 | DeviceID: 4e6454f7-e11a-4124-a5ad-541d568515d4
Line: 9 | Hops: 4 | Voltage: 118.661 | Status: Normal | Modifier: 0 | DeviceID: e8a944ed-60bb-45b0-abe1-c23428e1ccfa
Line: 10 | Hops: 4 | Voltage: 121.797 | Status: Normal | Modifier: 0 | DeviceID: 52c67ed6-af44-4018-9c19-5dd8ba17ccad
Line: 11 | Hops: 4 | Voltage: 119.159 | Status: Normal | Modifier: 0 | DeviceID: 6d3250cc-81c2-449c-bdf9-adfed6b0502a
Line: 12 | Hops: 4 | Voltage: 119.103 | Status: Normal | Modifier: 0 | DeviceID: 5e43d219-e294-4d4d-b22c-a1c36b7a8231
Line: 13 | Hops: 4 | Voltage: 119.271 | Status: Normal | Modifier: 0 | DeviceID: b7a6a756-1612-4b6c-b73f-0f9121339c70
